Terminal ID,Coal Terminal Name,Coal Terminal AKAs,Parent Port,GEM Wiki,GEM Wiki (Non-ENG),Status,Project Type,Owner,Capacity (Mt),Product Type,Terminal Type,Opening Year,Retire Year,Location,State/Province,Country,ISO Code,Subregion,Region,Latitude,Longitude,Accuracy,Coal source
T1035,Shipyard River Coal Terminal,,Port of Charleston,https://www.gem.wiki/Shipyard_River_Coal_Terminal,,Cancelled,Expansion,Kinder Morgan,5,All Cargo,Exports,-,-,Charleston,South Carolina,United States,840,Northern America,Americas,32.82480824,-79.93653434,Exact,
T1326,Shipyard River Coal Terminal,,-,https://www.gem.wiki/Shipyard_River_Coal_Terminal,,Operating,,Kinder Morgan,2.27,All Cargo,Imports,1982,-,Charleston,South Carolina,United States,840,Northern America,Americas,32.82480824,-79.93653434,Exact,
T1332,Sitran Coal Terminal,,-,https://www.gem.wiki/Sitran_Coal_Terminal,,Operating,,Foresight Energy,22.68,Coal,Exports,2012,-,Evansville,Indiana,United States,840,Northern America,Americas,37.89401865,-87.73168892,Exact,Illinois
T1362,Superior Coal Terminal,,Port of Duluth-Superior,https://www.gem.wiki/Superior_Coal_Terminal,,Operating,,Midwest Energy Resources Company,23.13,Coal,Domestic,-,-,Superior,Wisconsin,United States,840,Northern America,Americas,46.73761159,-92.1151651,Exact,
T1322,Tampa Bay Stevedores,,Port of Tampa Bay,https://www.gem.wiki/Tampa_Bay_Stevedores,,Operating,,Kinder Morgan,*,Coal,Imports,-,-,,Florida,United States,840,Northern America,Americas,27.904536,-82.41776,Exact,
T1334,Tradepoint Atlantic Bulk Terminal,,-,https://www.gem.wiki/Chesapeake_Bulk_Stevedores,,Operating,,"Tradepoint Atlantic, Host Terminals",2.72,All Cargo,Exports,2014,-,Sparrows Point,Maryland,United States,840,Northern America,Americas,39.20746858,-76.4772534,Exact,
T1038,United Bulk Coal Terminal,Host at Davant,Port of New Orleans,https://www.gem.wiki/United_Bulk_Terminal,,Cancelled,Expansion,T. Parker Host,9.1,Coal,Exports,-,-,Davant,Louisiana,United States,840,Northern America,Americas,29.61800197,-89.89375272,Exact,Illinois
T1353,United Bulk Coal Terminal,,Port of New Orleans,https://www.gem.wiki/United_Bulk_Terminal,,Operating,,T. Parker Host,9.1,Coal,Exports,-,-,Davant,Louisiana,United States,840,Northern America,Americas,29.61800197,-89.89375272,Exact,Illinois
T1045,Vancouver Port Coal Terminal,,Port of Vancouver,https://www.gem.wiki/Vancouver_Port,,Cancelled,,Port of Vancouver USA,*,Coal,Exports,-,-,Vancouver,Washington,United States,840,Northern America,Americas,45.643333,-122.704167,Exact,
T1404,Walker County Coal Terminal,,-,https://www.gem.wiki/Walker_County_Coal_Terminal,,Proposed,,Warrior Met Coal,*,Coal,Exports,-,-,Walker County,Alabama,United States,840,Northern America,Americas,33.53583069,-87.23896498,Approximate,Blue Creek Mine
T1352,Warrenton River Terminal,,-,https://www.gem.wiki/Warrenton_River_Terminal,,Operating,,Robindale Energy,9.1,All Cargo,-,-,-,Rayland,Ohio,United States,840,Northern America,Americas,40.19311916,-80.67576998,Exact,
